TCode,Name,destCity,Final_Arrival,Initial_Departure,Total_Trip_Duration_mins,Duration (sec),Direction
T010,Como & Eustis,Minneapolis,7:29am,6:53am,36,424,Walk to Larpenteur Ave & Eustis St
T010,Como & Eustis,Minneapolis,7:29am,6:53am,36,1200,Bus towards Westbound 61 Henn-Larp / Dwtn Mpls / Via Arcade
T010,Como & Eustis,Minneapolis,7:29am,6:53am,36,13,Walk to 8th St N & Hennepin Ave
T010,Como & Eustis,Minneapolis,7:29am,6:53am,36,120,Bus towards Southbound 19 Downtown
T010,Como & Eustis,Minneapolis,7:29am,6:53am,36,63,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T028,Normandale Village,Minneapolis,7:21am,6:38am,43,21,Walk to Normandale Village & P&R
T028,Normandale Village,Minneapolis,7:21am,6:38am,43,2520,Bus towards Northbound 597 Express / Minneapolis
T028,Normandale Village,Minneapolis,7:21am,6:38am,43,38,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T032,St. Edward's Catholic Church,Minneapolis,7:09am,6:37am,32,20,Walk to 94th St W & St Edward Church P&R
T032,St. Edward's Catholic Church,Minneapolis,7:09am,6:37am,32,1860,Bus towards Northbound 589 Express / Minneapolis
T032,St. Edward's Catholic Church,Minneapolis,7:09am,6:37am,32,7,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T040,Co Rd 73 & I-394 South,Minneapolis,7:16am,6:54am,22,204,Walk to Co Rd 73 P&R & A Bay
T040,Co Rd 73 & I-394 South,Minneapolis,7:16am,6:54am,22,1080,Bus towards Eastbound 673 Express / Downtown
T040,Co Rd 73 & I-394 South,Minneapolis,7:16am,6:54am,22,7,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T042,Minnetonka Blvd & Baker Rd,Minneapolis,7:08am,6:41am,27,84,Walk to Minnetonka Blvd & Baker Rd (Co Rd 60)
T042,Minnetonka Blvd & Baker Rd,Minneapolis,7:08am,6:41am,27,1500,Bus towards Eastbound 671 Express / Downtown
T042,Minnetonka Blvd & Baker Rd,Minneapolis,7:08am,6:41am,27,7,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T043,Minnetonka Blvd & Steele St,Minneapolis,7:08am,6:38am,30,29,Walk to Minnetonka Blvd & Steele St P&R
T043,Minnetonka Blvd & Steele St,Minneapolis,7:08am,6:38am,30,1740,Bus towards Eastbound 671 Express / Downtown
T043,Minnetonka Blvd & Steele St,Minneapolis,7:08am,6:38am,30,7,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T057,Excelsior City Hall,Minneapolis,7:08am,6:22am,46,119,Walk to Water St & 2nd St
T057,Excelsior City Hall,Minneapolis,7:08am,6:22am,46,2640,Bus towards Eastbound 671 Express / Downtown
T057,Excelsior City Hall,Minneapolis,7:08am,6:22am,46,7,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T081,Westwood Lutheran Church,Minneapolis,7:17am,6:48am,29,8,Walk to Cedar Lake Rd & Westwood Church P&R
T081,Westwood Lutheran Church,Minneapolis,7:17am,6:48am,29,1440,Bus towards Eastbound 663 Express / Downtown
T081,Westwood Lutheran Church,Minneapolis,7:17am,6:48am,29,278,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T082,Little Canada Municipal Lot,Minneapolis,7:29am,6:18am,71,23,Walk to Little Canada Rd & McMenemy St
T082,Little Canada Municipal Lot,Minneapolis,7:29am,6:18am,71,1680,Bus towards Southbound 71A Downtown / Chester St
T082,Little Canada Municipal Lot,Minneapolis,7:29am,6:18am,71,91,Walk to 6th St & Jackson / Robert
T082,Little Canada Municipal Lot,Minneapolis,7:29am,6:18am,71,1380,Bus towards Westbound 94 Express / Downtown / Minneapolis
T082,Little Canada Municipal Lot,Minneapolis,7:29am,6:18am,71,151,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T098,Salem Covenant Church,Minneapolis,7:17am,6:44am,33,19,Walk to Silver Lake Rd & 5th St NW
T098,Salem Covenant Church,Minneapolis,7:17am,6:44am,33,1740,Bus towards Southbound 825 Ltd Stop / Downtown
T098,Salem Covenant Church,Minneapolis,7:17am,6:44am,33,150,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T110,Faith-Lilac Way Lutheran Church,Minneapolis,7:26am,7:01am,25,175,Walk to 42nd Ave N & Welcome Ave / Hwy 100
T110,Faith-Lilac Way Lutheran Church,Minneapolis,7:26am,7:01am,25,1020,Bus towards Southbound 764 Express / Downtown
T110,Faith-Lilac Way Lutheran Church,Minneapolis,7:26am,7:01am,25,286,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T114,Navarre Center,Minneapolis,7:07am,6:35am,32,81,Walk to Shoreline Dr (Co Rd 15) & #3465
T114,Navarre Center,Minneapolis,7:07am,6:35am,32,1800,Bus towards Eastbound 677 Express/Minneapolis/Hwy 12 Bypass
T114,Navarre Center,Minneapolis,7:07am,6:35am,32,7,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T130,Wayzata Blvd & Barry Ave,Minneapolis,7:12am,6:47am,25,38,Walk to Wayzata Blvd P&R & Gate B
T130,Wayzata Blvd & Barry Ave,Minneapolis,7:12am,6:47am,25,1440,Bus towards Eastbound 674 Express / Downtown
T130,Wayzata Blvd & Barry Ave,Minneapolis,7:12am,6:47am,25,7,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T140,Mermaid Supper Club,Minneapolis,7:18am,6:47am,31,238,Walk to Co Rd H P&R & Mounds View Blvd / I-35W
T140,Mermaid Supper Club,Minneapolis,7:18am,6:47am,31,1500,Bus towards Southbound 250 Express / Co Rd H P&R / Downtown
T140,Mermaid Supper Club,Minneapolis,7:18am,6:47am,31,167,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T142,West River Rd & 117th Ave,Minneapolis,7:26am,6:44am,42,102,Walk to West River Rd & 117th Ave P&R
T142,West River Rd & 117th Ave,Minneapolis,7:26am,6:44am,42,2280,Bus towards Southbound 766 Express / Downtown / Via W River Rd
T142,West River Rd & 117th Ave,Minneapolis,7:26am,6:44am,42,113,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T143,Zachary Square,Minneapolis,7:23am,6:49am,34,1920,Bus towards Southbound 782 Trip 3 / Maple Grove / To Mpls
T143,Zachary Square,Minneapolis,7:23am,6:49am,34,113,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T145,Christ Episcopal Church,Minneapolis,7:20am,6:31am,49,500,Walk to Woodbury Theatre & P&R - Leave
T145,Christ Episcopal Church,Minneapolis,7:20am,6:31am,49,2280,Bus towards Westbound 355 Express / Minneapolis
T145,Christ Episcopal Church,Minneapolis,7:20am,6:31am,49,151,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T152,Blackhawk,Minneapolis,7:15am,6:40am,35,35,Walk to Blackhawk Park & Ride
T152,Blackhawk,Minneapolis,7:15am,6:40am,35,2040,Bus towards 472 Minneapolis
T152,Blackhawk,Minneapolis,7:15am,6:40am,35,49,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T155,Church of Nazarene,Minneapolis,7:26am,7:01am,25,195,Walk to Hwy 252 & 73rd Ave N
T155,Church of Nazarene,Minneapolis,7:26am,7:01am,25,1140,Bus towards Southbound 766 Express / Downtown / Via W River Rd
T155,Church of Nazarene,Minneapolis,7:26am,7:01am,25,113,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T158,Hwy 7 & Texas Ave,Minneapolis,7:19am,6:50am,29,207,Walk to Texas Ave S & Walker St (36th St)
T158,Hwy 7 & Texas Ave,Minneapolis,7:19am,6:50am,29,1500,Bus towards Eastbound 667 Express / Downtown
T158,Hwy 7 & Texas Ave,Minneapolis,7:19am,6:50am,29,7,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T161,I-35W & Co Rd H,Minneapolis,7:18am,6:51am,27,1500,Bus towards Southbound 250 Express / Co Rd H P&R / Downtown
T161,I-35W & Co Rd H,Minneapolis,7:18am,6:51am,27,167,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T173,Hwy 61 & Lower Afton Rd,Minneapolis,7:24am,6:48am,36,200,Walk to Hwy 61 & Lower Afton P&R
T173,Hwy 61 & Lower Afton Rd,Minneapolis,7:24am,6:48am,36,1740,Bus towards Northbound 365 Express / Minneapolis
T173,Hwy 61 & Lower Afton Rd,Minneapolis,7:24am,6:48am,36,151,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T177,Shepherd of the Grove Church,Minneapolis,7:12am,6:42am,30,68,Walk to Eagle Lake Rd & Shepherd of the Grove P&R
T177,Shepherd of the Grove Church,Minneapolis,7:12am,6:42am,30,1620,Bus towards Southbound 780 Trip 2/Maple Grove/To Mpls
T177,Shepherd of the Grove Church,Minneapolis,7:12am,6:42am,30,113,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T180,General Mills Blvd & I-394,Minneapolis,7:19am,7:01am,18,30,Walk to Interstate 394 En & Gen Mills Blvd P&R
T180,General Mills Blvd & I-394,Minneapolis,7:19am,7:01am,18,1020,Bus towards Southbound 756 Downtown / Express
T180,General Mills Blvd & I-394,Minneapolis,7:19am,7:01am,18,7,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T187,St. Joseph's Church,Minneapolis,7:16am,6:25am,51,26,Walk to St Josephs P&R & #171 Elm St
T187,St. Joseph's Church,Minneapolis,7:16am,6:25am,51,2880,Bus towards Southbound 250 Express / Downtown
T187,St. Joseph's Church,Minneapolis,7:16am,6:25am,51,167,"Walk to 215 S 8th St, Minneapolis, MN 55402, USA"
T191,Shoreview Community Center,Minneapolis,7:17am,6:29am,48,142,Walk to Shoreview Community Center & Victoria Dr
