recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity
TAZ,1,45.39920374690,-93.47971291680,44.974573,-93.27035,"45.3992037469, -93.4797129168","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,2,45.40700459720,-93.40351201930,44.974573,-93.27035,"45.4070045972, -93.4035120193","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,3,45.39400757860,-93.42928119060,44.974573,-93.27035,"45.3940075786, -93.4292811906","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,4,45.39121884410,-93.39014834410,44.974573,-93.27035,"45.3912188441, -93.3901483441","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,5,45.39446796810,-93.37436169330,44.974573,-93.27035,"45.3944679681, -93.3743616933","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,6,45.39425162790,-93.36303838880,44.974573,-93.27035,"45.3942516279, -93.3630383888","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,7,45.39898525630,-93.33782716260,44.974573,-93.27035,"45.3989852563, -93.3378271626","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,8,45.40647607180,-93.29043101060,44.974573,-93.27035,"45.4064760718, -93.2904310106","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,9,45.39202885570,-93.29046059280,44.974573,-93.27035,"45.3920288557, -93.2904605928","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,10,45.37762572720,-93.27570943620,44.974573,-93.27035,"45.3776257272, -93.2757094362","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,11,45.37757202490,-93.30388384640,44.974573,-93.27035,"45.3775720249, -93.3038838464","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,12,45.37771953480,-93.33478116220,44.974573,-93.27035,"45.3777195348, -93.3347811622","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,13,45.36325660810,-93.27586440290,44.974573,-93.27035,"45.3632566081, -93.2758644029","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,14,45.36234762720,-93.30252628820,44.974573,-93.27035,"45.3623476272, -93.3025262882","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,15,45.35240206510,-93.33258075200,44.974573,-93.27035,"45.3524020651, -93.332580752","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,16,45.32703518450,-93.33211719960,44.974573,-93.27035,"45.3270351845, -93.3321171996","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,17,45.33660761100,-93.30027592920,44.974573,-93.27035,"45.336607611, -93.3002759292","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,18,45.33971583480,-93.27514273070,44.974573,-93.27035,"45.3397158348, -93.2751427307","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,19,45.30939880050,-93.28564642440,44.974573,-93.27035,"45.3093988005, -93.2856464244","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,20,45.30894695110,-93.32678125280,44.974573,-93.27035,"45.3089469511, -93.3267812528","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,21,45.31075796530,-93.36122452870,44.974573,-93.27035,"45.3107579653, -93.3612245287","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,22,45.33418599630,-93.35611446910,44.974573,-93.27035,"45.3341859963, -93.3561144691","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,23,45.36487254870,-93.35463523970,44.974573,-93.27035,"45.3648725487, -93.3546352397","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,24,45.35482418400,-93.36743023230,44.974573,-93.27035,"45.354824184, -93.3674302323","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,25,45.37390265590,-93.37980555190,44.974573,-93.27035,"45.3739026559, -93.3798055519","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,26,45.34550129540,-93.38144688200,44.974573,-93.27035,"45.3455012954, -93.381446882","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,27,45.31458516770,-93.38066618220,44.974573,-93.27035,"45.3145851677, -93.3806661822","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,28,45.31191394530,-93.39728740530,44.974573,-93.27035,"45.3119139453, -93.3972874053","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,29,45.34185384790,-93.39340349990,44.974573,-93.27035,"45.3418538479, -93.3934034999","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
