TCode,Name,PnRNum,ox,oy,dx,dy,arriveTime,tripDate,destCity
T010,Como & Eustis,10,44.9877,-93.2028,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T028,Normandale Village,28,44.8249,-93.3484,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T032,St. Edward's Catholic Church,32,44.8329,-93.3565,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T040,Co Rd 73 & I-394 South,40,44.97,-93.4214,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T042,Minnetonka Blvd & Baker Rd,42,44.9399,-93.4476,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T043,Minnetonka Blvd & Steele St,43,44.9405,-93.4832,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T057,Excelsior City Hall,57,44.9032,-93.5677,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T081,Westwood Lutheran Church,81,44.955,-93.3939,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T082,Little Canada Municipal Lot,82,45.0208,-93.0837,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T098,Salem Covenant Church,98,45.0567,-93.2189,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T110,Faith-Lilac Way Lutheran Church,110,45.0322,-93.3509,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T114,Navarre Center,114,44.9354,-93.61,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T130,Wayzata Blvd & Barry Ave,130,44.973,-93.5158,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T140,Mermaid Supper Club,140,45.0945,-93.1934,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T142,West River Rd & 117th Ave,142,45.1667,-93.3573,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T143,Zachary Square,143,45.1296,-93.4248,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T145,Christ Episcopal Church,145,44.923,-92.9591,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T152,Blackhawk,152,44.7913,-93.1984,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T155,Church of Nazarene,155,45.0864,-93.2889,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T158,Hwy 7 & Texas Ave,158,44.9367,-93.3803,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T161,I-35W & Co Rd H,161,45.095,-93.1901,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T173,Hwy 61 & Lower Afton Rd,173,44.9281,-93.0211,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T177,Shepherd of the Grove Church,177,45.078,-93.4297,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T180,General Mills Blvd & I-394,180,44.9724,-93.3899,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T187,St. Joseph's Church,187,45.1678,-93.1352,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T191,Shoreview Community Center,191,45.0803,-93.1333,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T195,Park Place & I-394,195,44.9697,-93.3499,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T198,Palomino Hills,198,44.7645,-93.2191,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T199,St. Luke's Lutheran Church,199,44.823,-93.3019,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T201,Richardson Park,201,45.19,-93.3993,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T204,Foley Blvd,204,45.1417,-93.286,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T205,Hwy 61 & Co Rd C,205,45.0199,-93.0525,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T209,Hwy 7 & Vinehill Rd,209,44.9097,-93.5261,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T210,65th Ave & Brooklyn Blvd,210,45.0731,-93.3311,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
