,,index,recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity,dest,Traffic_model,Distance,Durations_sec,Step_dist,Summary,duration_in_traffic,step_duration,step_end_loc,step_html,step_start_loc
10200_0,0,3866,TAZ,806,45.1853463079,-93.5056021993,44.948164,-93.09143399999999,"[45.1853463079, -93.5056021993]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,58541.0,2576.0,59.0,I-694 E,2632.0,11.0,"{'lat': 45.1870724, 'lng': -93.51077149999999}",Head north on S Diamond Lake Ct,"{'lat': 45.18663710000001, 'lng': -93.51041409999999}"
10200_0,1,3866,TAZ,806,45.1853463079,-93.5056021993,44.948164,-93.09143399999999,"[45.1853463079, -93.5056021993]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,315.0,,,41.0,"{'lat': 45.1891094, 'lng': -93.51299750000001}",Turn right to stay on S Diamond Lake Ct,"{'lat': 45.1870724, 'lng': -93.51077149999999}"
10200_0,2,3866,TAZ,806,45.1853463079,-93.5056021993,44.948164,-93.09143399999999,"[45.1853463079, -93.5056021993]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,656.0,,,56.0,"{'lat': 45.1947662, 'lng': -93.5124589}",S Diamond Lake Ct turns right and becomes S Diamond Lake Trail,"{'lat': 45.1891094, 'lng': -93.51299750000001}"
10200_0,3,3866,TAZ,806,45.1853463079,-93.5056021993,44.948164,-93.09143399999999,"[45.1853463079, -93.5056021993]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,1171.0,,,74.0,"{'lat': 45.1958066, 'lng': -93.5271095}",Turn left onto 133rd Ave N/S Diamond Lake Rd,"{'lat': 45.1947662, 'lng': -93.5124589}"
10200_0,4,3866,TAZ,806,45.1853463079,-93.5056021993,44.948164,-93.09143399999999,"[45.1853463079, -93.5056021993]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,2969.0,,,185.0,"{'lat': 45.1696844, 'lng': -93.5214409}",Turn left onto Brockton Ln N,"{'lat': 45.1958066, 'lng': -93.5271095}"
10200_0,5,3866,TAZ,806,45.1853463079,-93.5056021993,44.948164,-93.09143399999999,"[45.1853463079, -93.5056021993]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,7624.0,,,395.0,"{'lat': 45.1308117, 'lng': -93.4421929}",Turn left onto County Rd 81,"{'lat': 45.1696844, 'lng': -93.5214409}"
10200_0,6,3866,TAZ,806,45.1853463079,-93.5056021993,44.948164,-93.09143399999999,"[45.1853463079, -93.5056021993]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,3534.0,,,128.0,"{'lat': 45.1300856, 'lng': -93.3972774}",Take the ramp on the left onto MN-610 E,"{'lat': 45.1308117, 'lng': -93.4421929}"
10200_0,7,3866,TAZ,806,45.1853463079,-93.5056021993,44.948164,-93.09143399999999,"[45.1853463079, -93.5056021993]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,5974.0,,,217.0,"{'lat': 45.0823277, 'lng': -93.40228049999999}",Take the exit onto US-169 S,"{'lat': 45.1300856, 'lng': -93.3972774}"
10200_0,8,3866,TAZ,806,45.1853463079,-93.5056021993,44.948164,-93.09143399999999,"[45.1853463079, -93.5056021993]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,7269.0,,,270.0,"{'lat': 45.0734556, 'lng': -93.3164266}",Take the exit onto I-694 E/I-94 E,"{'lat': 45.0823277, 'lng': -93.40228049999999}"
10200_0,9,3866,TAZ,806,45.1853463079,-93.5056021993,44.948164,-93.09143399999999,"[45.1853463079, -93.5056021993]","44.948164, -93.091434",7:00 AM,9/18/2017,St Paul,"[44.948164, -93.09143399999999]",optimistic,,,18746.0,,,671.0,"{'lat': 45.0375608, 'lng': -93.0918612}",Keep left at the fork to continue on I-694 E,"{'lat': 45.0734556, 'lng': -93.3164266}"
